id,name,category,description,image,image_2,image_3,video_url,prices_standard,prices_minimum,prices_maximum,colors,sizes,fabric,
pc011,GONNA IN CREPE CADY CON CRISTALLI,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756816912/06122022_Elisa_Sanna5485BIS_copiabis_byipyk.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756722780/06122022_Elisa_Sanna5510bis_kl2t7o.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756722968/06122022_Elisa_Sanna5500BIS_2_qyorph.jpg,,950,950,1150,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
pc012,GONNA IN CREPE CADY CON CRISTALLI,prive_ceremonial,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756816912/06122022_Elisa_Sanna5485BIS_copiabis_byipyk.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756722780/06122022_Elisa_Sanna5510bis_kl2t7o.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756722968/06122022_Elisa_Sanna5500BIS_2_qyorph.jpg,,630,630,730,"Charcoal Gray,Deep Navy,Classic Black","XS,S,M,L,XL,XXL",100% Linen,order
col001,BLUSA IN CADY DI SETA,collections,Lightweight linen suit perfect for spring occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756732003/82356752-CB07-471F-9F9B-B4CCEB556D43_vaifqd.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756736322/ELI_00439-1_grobso_ooapjz.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756736322/ELI_00439-1_grobso_ooapjz.jpg,,620,620,790,"Natural Beige,Soft White,Light Gray,Pale Blue","XS,S,M,L,XL,XXL",100% Linen,order
col002,BLUSA IN VELLUTO DI SETA,collections,Lightweight linen suit perfect for spring occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756824431/06122022_Elisa_Sanna5030BIS_mswdkf.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756824434/06122022_Elisa_Sanna5012BIS_slidw7.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756824428/05122022_Elisa_Sanna3295_copia_glz8ts.jpg,,670,670,850,"Natural Beige,Soft White,Light Gray,Pale Blue","XS,S,M,L,XL,XXL",100% Linen,order
col003,BLUSA CON DETTAGLIO GIOIELLO,collections,Lightweight linen suit perfect for spring occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756736389/567CF7C9-8B4B-4E99-B968-0E43C76D7C82_nw01yw.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756819864/ELI_00707-1_vke3b1.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756820195/ELI_00724-1_cla2fn.jpg,,520,520,720,"Natural Beige,Soft White,Light Gray,Pale Blue","XS,S,M,L,XL,XXL",100% Linen,order
col004,ABITO IN FRESCO DI LANA CON DETTAGLIO,collections,Lightweight linen suit perfect for spring occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756729106/ELISA_102771_jbidsn.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756729142/ELISA_102774_jxyqmo.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756729096/ELISA_102786_lkexp5.jpg,,890,1050,1050,"Natural Beige,Soft White,Light Gray,Pale Blue","XS,S,M,L,XL,XXL",100% Linen,order
col005,MAGLIA IN MOHAIR E TULLE,collections,Lightweight linen suit perfect for spring occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756830187/ELI_00064_kgmc8w.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756888916/ELI_00085_1_-1_kmwkay.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756888867/ELI_00049-1_l7vmgj.jpg,,640,640,840,"Natural Beige,Soft White,Light Gray,Pale Blue","XS,S,M,L,XL,XXL",100% Linen,order
col005,ABITO IN LANA E SETA,collections,Lightweight linen suit perfect for spring occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756827209/ELISA_102903_znyysn.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756729079/ELISA_102937_rkoc21.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756729084/ELISA_102896_slthcl.jpg,,950,950,1150,"Natural Beige,Soft White,Light Gray,Pale Blue","XS,S,M,L,XL,XXL",100% Linen,order
col006,ABITO IN CADY E SETA,collections,Lightweight linen suit perfect for spring occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756894011/DSC3329-scaled_qxe1ii.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756894076/DSC3309-scaled_rfyefu.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756894045/DSC3316-Enhanced-NR-scaled_co2cu7.jpg,,850,1050,1050,"Natural Beige,Soft White,Light Gray,Pale Blue","XS,S,M,L,XL,XXL",100% Linen,order
col007,ABITO CON TULLE RICAMATO,collections,Lightweight linen suit perfect for spring occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756896717/12-scaled_vpi9ix.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756896753/13-scaled_ixjhjm.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756897114/ELI_15893_1_fncsx0.jpg,,890,890,1090,"Natural Beige,Soft White,Light Gray,Pale Blue","XS,S,M,L,XL,XXL",100% Linen,order
col008,ABITO IN CADY E LANA,collections,Lightweight linen suit perfect for spring occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756897469/ELISA_102800_1_ytubbi.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756897467/ELISA_102813_qdodru.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756897470/ELISA_102823_baskoi.jpg,,990,990,1090,"Natural Beige,Soft White,Light Gray,Pale Blue","XS,S,M,L,XL,XXL",100% Linen,order
kid001,Little Prince Suit,kids,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756048634/E91E59FD-77AE-4280-851A-65C729214A6B_yolopv.jpg,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1,,380,320,450,"Navy Blue,Charcoal Gray,Black","2Y,3Y,4Y,5Y,6Y,7Y,8Y,10Y,12Y",Cotton Blend,order
kid002,Little Prince Suit2,kids,Adorable mini suit perfect for special occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756048634/E91E59FD-77AE-4280-851A-65C729214A6B_yolopv.jpg,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1,,380,320,450,"Navy Blue,Charcoal Gray,Black","2Y,3Y,4Y,5Y,6Y,7Y,8Y,10Y,12Y",Cotton Blend,order
kid003,Little Prince Suit3,kids,Adorable mini suit perfect for special occasions,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1,,380,320,450,"Navy Blue,Charcoal Gray,Black","2Y,3Y,4Y,5Y,6Y,7Y,8Y,10Y,12Y",Cotton Blend,order
col002,TOP CON TULLE RICAMATO,collections,Lightweight linen suit perfect for spring occasions,https://res.cloudinary.com/do5fpt0co/image/upload/v1756826381/_DSC1621_cpqrid.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756823797/_DSC1629_cwemrq.jpg,https://res.cloudinary.com/do5fpt0co/image/upload/v1756823791/_DSC1587_yws69r.jpg,,520,520,690,"Natural Beige,Soft White,Light Gray,Pale Blue","XS,S,M,L,XL,XXL",100% Linen,order
